sentencas,nenhum,adm-publica,agricultura-pecuaria-pesca-extrativismo,arte-cultura-religiao,cidades-desenvolvimento-urbano,ciencia-tecnologia-inovacao,ciencias-exatas,ciencias-sociais,comunicacoes,defesa-seguranca,direito-civil,direito-constitucional,direito-consumidor,direito-justica,direito-penal,direitos-humanos-minorias,economia,educacao,energia-recursos-hidricos-minerais,esporte-lazer,estrutura-fundiaria,financas-publicas-orcamento,homenagens-datas-comemorativas,industria-comercio-servicos,meio-ambiente-desenvolvimento-sustentavel,politica-partidos-eleicoes,previdencia-assistencia-social,processo-legislativo-atuacao-parlamentar,relacoes-internacionais-comercio-exterior,saude,trabalho-emprego,turismo,viacao-transporte-mobilidade,impeachment,corrupção,serviço-público,reforma-política,eleição
"sr Presidente, solicito a v.exa que autorize a divulgação deste pronunciamento pelo programa A Voz do Brasil e demais meios da Casa.",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Em boletim de ocorrência registrado na Delegacia de Barcarena no último dia , eles afirmam ter sofrido ameaças de morte.",,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Da mesma forma que achei muito desrespeitosas as charges feitas ridicularizando Maomé , de Charlie Hebdo, que não justificam a chacina nas dependências da editora.",,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A pesquisa também diferencia os homicídios identificados entre jovens brancos e negros, de  a  anos, mostrando números alarmantes.",,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
"O pessoal do PT, da esquerda sabe disso.",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
É isso o que tem acontecido nesta Casa permanentemente.,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Especialistas avaliam que a recuperação da Bacia do Rio Doce levará décadas e poderá custar até  bilhões de reais.,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
"Ele é maravilhoso.. sr Presidente, sr e sr Deputados, quero me referir ao tema da redução da maioridade penal.",,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
Uma das ações do Comitê é incentivar os produtores para que façam os registros sobre as ocorrências de furtos em suas propriedades com intuito de estabelecer a real situação em relação ao crime.,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agora, a própria Presidente, ao dizer que não vai cair, sabe, sim.",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Como seria lindo se os cristãos vissem aquela imagem como um pedido de socorro e um grito de afirmação de dignidade, de humanidade e de igualdade.",,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
"Nesses  anos, o PRONAF recebeu fermento, transformou o meio rural e, hoje, beneficia, efetivamente, os agricultores familiares em % dos Municípios e vem sendo responsável por uma verdadeira revolução tecnológica.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pela primeira vez na Casa pude me manifestar favoravelmente a um tema muito significativo, diria emblemático, para as mulheres em geral interessadas em ingressar na política e da bancada feminina no Congresso Nacional.",,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Outrossim, o projeto vai proporcionar o aumento da movimentação financeira atual, no município, de R$.., para R$..,, além de incrementar sua produção agrícola anual de .",,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Suplentes : Antonio Carlos Mendes Thame, Caio Narcio, Fabricio Oliveira, João Gualberto, Sarney Filho,  vaga.",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eu também ficaria sensibilizado, se não soubesse que um menor no Maranhão entrou num ônibus cheio, onde estavam uma mãe e uma criança de  anos, e o incendiou.",,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O certo é que D. João preencheu todo o itinerário dos grandes sacerdotes da Igreja.,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Para quem serviu o BNDES?,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"O Ministro de Minas e Energia foi convocado para hoje, às hmin, vir a esta Casa e assim podermos saber saber quais os reais motivos desse calote.",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Se a matéria começa a ser votada pela Câmara e é derrotada, não prossegue; se é aprovada, Deputado Pauderney, segue para o Senado.",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Estas informações visam dar amplo conhecimento à sociedade das políticas e dos programas do Poder Executivo Federal, divulgar os direitos do cidadão e os serviços colocados à sua disposição e estimular a participação da sociedade no debate e na formulação de políticas públicas.",,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v.exa será atendido.,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nós queremos também a redução da maioridade civil para  anos.,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
Por que excluí-los?,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Reforço aqui meu apoio a todos os cooperados do Brasil, especificamente os de Santa Catarina, pelo Dia Internacional do Cooperativismo.",,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,
"Durante o regime comunista cubano, a atividade religiosa estava proibida.",,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"E quando se tem uma depreciação no que diz respeito à valorização do custeio dessa demanda, há o exemplo - claro que já aconteceram, inclusive no ano passado - de Municípios que diminuíram o ano escolar: em vez de  meses,  meses por semestre, reduzem o período escolar porque não têm condições de manter o custeio da merenda e do transporte escolar.",,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
Mas isso não é por culpa dos servidores públicos.,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Não é atinente sequer à Ordem do Dia, segundo o art , § º, do nosso Regimento, e não se trata de ato da nossa Casa.",,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
"De acordo com a Prova Brasil, somente % dos alunos do º ano das escolas públicas estaduais do Pará atingiram a aprendizagem adequada na leitura e na interpretação de texto, pois, dos .",,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
"Seu objetivo é sensibilizar os visitantes para as riquezas do Cerrado, suas belezas, sua fauna e sua flora e sua importância como berço das águas das principais bacias hidrográficas do Brasil.",,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
"O fundamentalismo religioso considerou Jesus um escândalo e o matou, assim fazendo em nome de Deus.",,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gostaria de parabenizar os queridos Dom Frei Magnus Henrique Lopes e Dom Paulo Cardoso pelo recebimento da homenagem, e às autoridades do Município, pelo reconhecimento do mérito dos homenageados.",,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,
"Eu tenho um projeto muito simples aqui, por exemplo, que fala da legítima defesa da vida e do patrimônio.",,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
"Quando Matos Peixoto se mudou para o Rio de Janeiro, ele o acompanhou.",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eu quero deixar aqui uma palavra à população brasileira, que acompanha, neste momento tão ruim, detidamente o que acontece nesta Casa.",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Os nossos Prefeitos não dormem mais por causa da preocupação com as dificuldades do seu Município.,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Com a obra do PAC, aproximadamente  milhões de litros de água podem ser produzidos, tratados e distribuídos para a população de Óbidos.",,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"O nosso estimado José Ramos Torres de Melo e Flávio Saboya, lado a lado com vários outros que foram homenageados na data de ontem, fizeram com que nós pudéssemos ter esse destaque.",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vidas humanas estão ameaçadas pelos danos ambientais e, agora, segundo denúncias, pela mira de revólveres.",,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
"Por esta razão, em breve, esse assunto vai merecer de minha parte, uma reflexão mais profunda da tribuna desta Casa.",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Reiteradas vezes, instituições internacionais têm cobrado do Brasil uma política pública mais eficaz para reduzir os números do trabalho infantil, que chegam, segundo dados do UNICEF, a mais de  milhões de jovens, de crianças e de adolescentes em condição de vulnerabilidade, grande parte deles ainda vítima dessa prática.",,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,
"Mas, neste instante, o papel fundamental que tem v.exa é na discussão sobre o pacto federativo.",,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,
"Durante o período junino, os entrevistados também puderam opinar a respeito do melhor local para a instalação do hub , o centro de conexões de voos da LATAM.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Aqui não se fala sobre a questão de ser favorável ao impeachment ou à renúncia.,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agradeço a atenção.,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nós que participamos de movimentos sociais, que conquistamos a redemocratização do País, que trouxemos de volta ao Parlamento brasileiro pessoas eleitas democraticamente - e também aos Governos do Estado, à Presidência da República, ao Senado, em que um terço era também indicado -, não podemos aceitar de maneira alguma que tantos movimentos que fizemos possam ser manchados por essas pessoas.",,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,
"Grandes grupos empresariais intervêm cada vez mais na política educacional, por meio de propostas que têm sido assumidas pelos governos com o falso objetivo de melhorar a qualidade das escolas públicas.",,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
A greve ainda não acabou.,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nós não podemos aceitar que isso aconteça.,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Não existe um plano b""?",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sem dúvida alguma, é um apoio extraordinário ao entendimento entre os povos do mundo.",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Muito obrigada.. sr Presidente, sr e sr Deputados, estamos ocupando a tribuna no dia de hoje para demonstrar a nossa preocupação com os dados estarrecedores de uma pesquisa realizada pelo Ministério da Saúde: mais de  mil bebês são fruto de estupro de crianças e adolescentes no Brasil.",,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,
Boa parte dos recursos desviados é fruto de financiamentos do BNDES - Banco Nacional de Desenvolvimento Econômico e Social.,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O fundamentalismo religioso não dialoga.,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"São famílias e famílias, são gerações que sobrevivem com o trabalho das casas lotéricas há muitos anos e que precisam manter-se.",,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
"Enquanto aguardam a demarcação de suas terras, os indígenas guaranis-kaiowás convivem com a violência e as intimidações dos fazendeiros da região.",,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
"Como disse no plenário, a montanha pariu um rato.",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Está assegurada na Constituição que todas as ações do Estado são para assegurar a dignidade da pessoa humana.,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
"Mesmo quando tentam desqualificar a postura do jovem ou do cidadão porque é gay , estão querendo jogar o pai contra o filho - pai contra filho!",,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
Vai-se começar a comercializar o petróleo excedente.,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
Eles sabiam que estavam profanando um símbolo religioso.,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nós temos uma preocupação muito grande com relação ao contingenciamento de  bilhões de reais do Orçamento da saúde.,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,
"Para essa comemoração aos  anos, a Marinha do Brasil estará realizando, simultaneamente, em São Paulo e em Brasília, eventos comemorativos à data.",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eles não podem ficar sem nenhuma condição de trabalho.,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"sr Presidente, peço que este discurso seja dado como lido e encaminhado para divulgação pelos órgãos de comunicação da Casa e no programa A Voz do Brasil Obrigado.. sr Presidente, apresentamos o Projeto de Lei nº ., de , que trata da regulamentação da profissão de teólogo, o qual foi aprovado na Comissão de Trabalho, de Administração e Serviço Público na semana passada.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,
Os posseiros da Amazônia foram os primeiros a receber atenção da Comissão Pastoral da Terra.,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,
"sr Presidente, sr e sr Deputados, vou falar hoje sobre a mais importante política pública deste País destinada à agricultura familiar, o PRONAF - Programa Nacional de Fortalecimento da Agricultura Familiar, que vem revolucionando o meio rural brasileiro.",,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O empresário não vê esse Governo preocupado em ampliar a infraestrutura; em construir estradas para escoar a produção; em aeroportos para embarcar a nossa produção; em portos para exportar a nossa produção; não vê o Governo com boa vontade com o empresariado.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Também é de conhecimento público a desvalorização dos servidores públicos da educação e a falta de infraestrutura de trabalho para esses profissionais.,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
"Além disso, já está comprovado que uma pessoa sem treinamento tentar apagar um princípio de incêndio de automóvel pode ser mais perigoso do que o próprio incêndio.",,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
"Não há, por parte de ninguém neste Brasil, pelo menos dos que estão no Congresso, nem vontade nem capacidade para pedir impeachment Impeachment nasce nas ruas!",,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"De certa forma o evento já se iniciou, porque centenas e centenas de delegados e delegadas, escolhidos democraticamente nas eleições próximas passadas que elegeram o Presidente Nacional do PT e os Presidentes Estaduais do PT, são as pessoas que terão direito a voto.",,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,
"Para evitarem o impacto do número exorbitante de homicídios, eles modificaram a estatística, esconderam, colocaram debaixo do tapete, omitiram o registro de  homicídios em  anos.",,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"alunos desse montante conseguiram aprender adequadamente com a resolução de problemas até o º ano, na rede estadual de ensino - ou seja, % do total.",,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
"Muito obrigado pelas palavras sempre carinhosas de v.exa sr Presidente, sr e sr Deputados, a pós longa espera, o Governo Federal anunciou o Plano Safra /.",,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conto com o apoio de todos os nobres colegas.,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Como se sabe, o Governo manteve os preços artificialmente baixos por anos - o preço mesmo, antes até dos impostos - durante a época de boom das commodities O objetivo era conter a inflação.",,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,
E cabe também às forças políticas fazer o debate político para encontrar uma solução.,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Quando adoecem não podem se ausentar do trabalho, sob pena de diminuição da renda familiar.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,
"Evite o álcool, combata a obesidade e não fume.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,
"Exemplo disso está no Ceará com o Curu-Pentecoste e o Curu-Paraipaba, projetos de irrigação que precisam de investimentos e não têm de onde buscar, porque nós não temos nenhum fundo, no Orçamento da União, para garantir a expansão da Política de Irrigação no Brasil como um todo.",,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,
"Se v.exa concordar, eu posso considerá-lo lido e pedir para que seja divulgado nos órgãos de comunicação da Casa.",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Até o início da Ordem do Dia.,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
É indispensável que as cidades tenham ambulâncias em boas condições de uso e equipadas para atender emergências.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,
Isso reforça ainda mais a nossa preocupação com o setor sucroenergético.,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
"Portanto, não se trata de congelamento.",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eu vou falar sobre outro assunto, sr Presidente: acerca de um drama que nós estamos vivendo no Estado de Rondônia, as enchentes do Rio Madeira.",,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
"Consideramos que esta audiência foi de fundamental importância para prestar informações, para dirimir dúvidas a respeito da construção desse importante equipamento.",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"O rompimento das barragens de regularização de cheias de Banquiau, no rio Ru, e Shimatan, no rio Hong, provocou a morte de mais de .",,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,
"O País está à deriva, não tem comandante.",,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ele não é um projeto só desses três Estados, pois todos os outros Estados poderão, no momento em que precisarem, buscar esse reajuste.",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Então, é uma região linda e por demais rica de natureza, de um povo ordeiro.",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Não difere em nada.,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Os Poderes têm que ser independentes e harmônicos entre si.,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,
Acreditamos nisso e continuaremos trabalhando pelo nosso País.,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"É um hospital de rico para pobre, porque atende o SUS com a qualidade que não tem melhor no Brasil.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,
Vou trazê-la.,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Penso que o Brasil precisa, sim, diminuir a carga de impostos.",,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,
"Nossa preocupação, sr Presidente, é com o previsível colapso da telefonia celular, quando mais cidadãos estiverem ativando telefones inteligentes com acesso à Internet, câmeras fotográficas e de vídeo, e compartilhando tais conteúdos.",,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Portanto, concordo plenamente com o posicionamento do policial e militante político Sargento Pereira quando afirma, ao finalizar seu discurso: Só através da mobilização e pressão da sociedade poderá haver uma convocação de uma Assembleia Constituinte exclusiva e soberana para fazer a reforma política.",,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,
"Do total de denúncias de violência recebidas pela Central de Atendimento à Mulher, por meio do número , aproximadamente metade se refere à violência física.",,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
"Prefeito Hélio Fortunato, o Vereador Arnaldo Ferraz, os companheiros Município Gilvan Coutinho, Gileno, Jaimilton Acioly, Aílton do PT, Luciano Oliveira e Zé Beto.",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O projeto era simplesmente sobre a regulamentação da profissão.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,
A maior parte dessas chamadas não se mantém ativa nem mesmo por poucos minutos.,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Se tivesse sido estaria junto aos mais de % da população brasileira que são favoráveis à punição dos que cometem os mais terríveis crimes na certeza da impunidade!,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
Acumulamos US$  bilhões em reservas: dez vezes mais do que em  e dez vezes maiores que a dívida de curto prazo.,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,
"Direção Nacional do MST."".",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Para o bom entendedor, os discursos, eivados de ódio, de intolerância e de falta de compromisso com o País, dos pregadores do Apocalipse, não têm agradado àqueles que ainda preservam um pouco de tradição e história de um partido que teve em sua direção líderes da estatura de Franco Montoro, Mário Covas e tantos outros.",,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,
"Reduzimos a dívida pública líquida praticamente à metade; de ,% do PIB para ,%.",,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,
Destinamos % dos royalties do petróleo para a educação.,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,
"Por que essa PEC, da forma como está redigida, não pode prosperar?",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
